City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Isangel,VU,81.57,clear sky,-19.55,169.2667,Tanna Lodge
2,Avarua,CK,78.67,broken clouds,-21.2078,-159.775,Paradise Inn
3,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
8,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Hambantota,LK,80.02,scattered clouds,6.1241,81.1185,Bungalow 63
13,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
19,Labuhan,ID,80.4,overcast clouds,-6.8844,112.2051,DoubleFAG
28,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Minapasuk,PH,82.45,overcast clouds,10.6988,123.3536,Julia Abrigoso Residences
39,Awjilah,LY,82.42,clear sky,29.1081,21.2869,المنزل
46,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
50,Nara,JP,79.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
53,Tabou,CI,77.49,light rain,4.423,-7.3528,hotêl doufoulougou
58,Butaritari,KI,81.55,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
63,Marsh Harbour,BS,78.01,few clouds,26.5412,-77.0636,Abaco Beach Resort
64,Sola,VU,81.23,scattered clouds,-13.8833,167.55,Leumerus Bungalows
65,Galveston,US,81.05,clear sky,29.3669,-94.9669,Crystal Suites
68,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
74,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
78,Hithadhoo,MV,83.39,few clouds,-0.6,73.0833,Scoop Guest House
80,Umm Lajj,SA,78.73,clear sky,25.0213,37.2685,Moon light Furnished Units
83,Leon,MX,86.05,clear sky,21.1167,-101.6667,Enterprise Inn Poliforum
89,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
94,Rikitea,PF,75.06,clear sky,-23.1203,-134.9692,People ThankYou
95,Orocue,CO,76.71,scattered clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
97,Puerto Suarez,BO,75.51,overcast clouds,-18.95,-57.8,Hotel casa real
99,Kudahuvadhoo,MV,82.38,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
103,Faanui,PF,80.98,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Awbari,LY,82.35,overcast clouds,26.5921,12.7805,فندق أوباري
119,Sinnamary,GF,78.12,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
121,San Policarpo,PH,83.41,overcast clouds,12.1791,125.5072,Agapita M. Nicart
128,Benemerito De Las Americas,MX,79.95,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
129,Victoria,HK,84.38,broken clouds,22.2855,114.1577,Mini Central
136,Zaranj,AF,78.21,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
143,Touros,BR,75.58,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
146,Atar,MR,90.03,clear sky,20.5169,-13.0499,Oumou Elghoura
147,Sibolga,ID,79.45,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
155,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
163,Karratha,AU,78.39,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
165,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
