City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,57.85,77,0,5.03,clear sky
1,Isangel,VU,-19.55,169.2667,81.57,67,10,1.19,clear sky
2,Avarua,CK,-21.2078,-159.775,78.67,74,58,2.71,broken clouds
3,Cabo San Lucas,MX,22.8909,-109.9124,81.61,53,0,4.61,clear sky
4,Nikolskoye,RU,59.7035,30.7861,40.91,88,100,5.41,overcast clouds
5,Murgab,TM,37.4966,61.9714,73.51,34,5,13.91,clear sky
6,Ushuaia,AR,-54.8,-68.3,40.66,81,40,35.68,scattered clouds
7,Asfi,MA,32.2994,-9.2372,63.73,77,2,15.35,clear sky
8,Kapaa,US,22.0752,-159.319,80.58,67,0,14.97,clear sky
9,Los Andes,CL,-32.8337,-70.5983,56.01,45,14,1.88,few clouds
10,Hambantota,LK,6.1241,81.1185,80.02,82,36,13.58,scattered clouds
11,Luderitz,NA,-26.6481,15.1594,57.0,79,0,7.29,clear sky
12,Ampanihy,MG,-24.7,44.75,64.53,93,0,2.66,clear sky
13,Vaini,TO,-21.2,-175.2,82.56,74,20,11.5,few clouds
14,Ribeira Grande,PT,38.5167,-28.7,62.19,76,7,16.53,clear sky
15,Port Alfred,ZA,-33.5906,26.891,59.18,94,94,5.01,overcast clouds
16,Russell,US,32.3502,-85.1999,71.38,100,20,3.44,few clouds
17,Cape Town,ZA,-33.9258,18.4232,61.12,95,7,5.12,clear sky
18,Yellowknife,CA,62.456,-114.3525,57.56,28,14,5.99,few clouds
19,Labuhan,ID,-6.8844,112.2051,80.4,81,100,3.33,overcast clouds
20,Jamestown,US,42.097,-79.2353,69.39,67,100,13.8,overcast clouds
21,Bluff,NZ,-46.6,168.3333,48.79,62,42,4.36,scattered clouds
22,Sterling,US,39.0062,-77.4286,66.2,59,100,8.05,overcast clouds
23,Barrow,US,71.2906,-156.7887,33.82,86,20,16.11,few clouds
24,New Glasgow,CA,45.5834,-62.6486,48.92,72,100,9.37,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,54.91,84,100,3.09,overcast clouds
26,Gubbi,IN,13.3106,76.9444,74.12,77,16,5.44,few clouds
27,Hobart,AU,-42.8794,147.3294,55.26,88,75,8.05,broken clouds
28,Hilo,US,19.7297,-155.09,88.29,72,75,12.66,broken clouds
29,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,8.05,clear sky
30,Minapasuk,PH,10.6988,123.3536,82.45,72,100,3.11,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,48.47,69,29,3.27,scattered clouds
32,Albany,US,42.6001,-73.9662,65.79,65,100,4.72,overcast clouds
33,Chuy,UY,-33.6971,-53.4616,57.43,92,100,17.56,overcast clouds
34,Coffs Harbour,AU,-30.3,153.1333,68.13,73,75,10.36,broken clouds
35,Aklavik,CA,68.2191,-135.0107,50.99,52,15,0.85,few clouds
36,Bairnsdale,AU,-37.8333,147.6167,64.06,74,73,1.01,broken clouds
37,Pelotas,BR,-31.7719,-52.3425,60.85,96,100,4.29,moderate rain
38,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,87,75,4.47,light rain
39,Awjilah,LY,29.1081,21.2869,82.42,12,0,6.82,clear sky
40,Nemuro,JP,43.3236,145.575,53.06,91,66,10.89,broken clouds
41,Kaitangata,NZ,-46.2817,169.8464,47.23,66,69,8.14,broken clouds
42,Senador Canedo,BR,-16.7081,-49.0931,65.53,59,0,8.05,clear sky
43,Mao,ES,39.8885,4.2658,64.96,63,0,16.11,clear sky
44,Filadelfia,US,39.9523,-75.1638,65.7,53,75,8.05,broken clouds
45,Nanortalik,GL,60.1432,-45.2371,33.84,79,5,8.52,clear sky
46,Pochutla,MX,15.7432,-96.4661,82.81,78,100,1.01,overcast clouds
47,Lincoln,US,40.8,-96.667,52.18,95,100,25.32,moderate rain
48,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,20,2.3,few clouds
49,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,32.21,scattered clouds
50,Nara,JP,34.6851,135.8049,79.5,36,100,3.58,overcast clouds
51,Talnakh,RU,69.4865,88.3972,31.21,77,10,3.96,clear sky
